Date;Load
2016-08-10;6832494830
2016-08-11;6786621670
2016-08-12;6821594860
2016-08-13;6241623460
2016-08-14;5758163980
2016-08-15;5902114880
2016-08-16;6783907720
2016-08-17;6940556440
2016-08-18;7047322680
2016-08-19;7103721360
2016-08-20;6561560770
2016-08-21;5978073140
2016-08-22;7145910770
2016-08-23;7345038700
2016-08-24;7328250350
2016-08-25;7258352060
2016-08-26;7257284420
2016-08-27;6616263710
2016-08-28;6236974940
2016-08-29;7466279360
2016-08-30;7509136270
2016-08-31;7519441790
2016-09-01;7547281330
2016-09-02;7616731600
2016-09-03;6909040850
2016-09-04;6513874040
2016-09-05;7935654210
2016-09-06;8174259640
2016-09-07;8089522930
2016-09-08;7605100590
2016-09-09;7509996090
2016-09-10;6699993130
2016-09-11;6188622870
2016-09-12;7438791960
2016-09-13;7357545430
2016-09-14;6913957040
2016-09-15;6787701610
2016-09-16;6758784950
2016-09-17;6121027290
2016-09-18;5654892130
2016-09-19;6677618580
2016-09-20;6894457900
2016-09-21;6880471500
2016-09-22;6931869170
2016-09-23;6869852500
2016-09-24;6076307830
2016-09-25;5586328020
2016-09-26;6729196840
2016-09-27;6946744410
2016-09-28;6951342950
2016-09-29;6876120030
2016-09-30;6839446360
2016-10-01;6093388430
2016-10-02;5603411520
2016-10-03;6701022910
2016-10-04;6925112270
2016-10-05;6949519630
2016-10-06;6906695960
2016-10-07;6711582410
2016-10-08;6044464360
2016-10-09;5572095530
2016-10-10;6599736720
2016-10-11;6664161980
2016-10-12;5764184680
2016-10-13;6556030570
2016-10-14;6585822200
2016-10-15;5910737410
2016-10-16;5497897410
2016-10-17;6644802470
2016-10-18;6821849090
2016-10-19;6809464450
2016-10-20;6799566470
2016-10-21;6744223500
2016-10-22;6083651820
2016-10-23;5655692890
2016-10-24;6702303240
2016-10-25;6835632110
2016-10-26;6819440190
2016-10-27;6796150780
2016-10-28;6744012790
2016-10-29;5967231740
2016-10-30;5648712530
2016-10-31;6017796550
2016-11-01;5570993320
2016-11-02;6605293770
2016-11-03;6749486980
2016-11-04;6860253750
2016-11-05;6172946640
2016-11-06;5657789070
2016-11-07;6886727760
2016-11-08;7209257640
2016-11-09;7198718900
2016-11-10;7216595220
2016-11-11;7162462250
2016-11-12;6393359620
2016-11-13;5899564630
2016-11-14;7060804790
2016-11-15;7293236610
2016-11-16;7255079990
2016-11-17;7242393820
2016-11-18;7198047270
2016-11-19;6415222630
2016-11-20;6027196580
2016-11-21;7151452690
2016-11-22;7353569390
2016-11-23;7416083210
2016-11-24;7448679400
2016-11-25;7508127620
2016-11-26;6760304950
2016-11-27;6237595980
2016-11-28;7324000500
2016-11-29;7519030240
2016-11-30;7494189340
2016-12-01;7463438270
2016-12-02;7373493510
2016-12-03;6689665160
2016-12-04;6194976620
2016-12-05;6935849310
2016-12-06;6413887860
2016-12-07;6992828660
2016-12-08;6301298760
2016-12-09;6770176500
2016-12-10;6394873250
2016-12-11;6107806430
2016-12-12;7302915800
2016-12-13;7561826940
2016-12-14;7630212110
2016-12-15;7670044670
2016-12-16;7611266420
2016-12-17;6761537430
2016-12-18;6395343640
2016-12-19;7660155630
2016-12-20;7694707030
2016-12-21;7613420110
2016-12-22;7486013910
2016-12-23;7102470890
2016-12-24;6100634570
2016-12-25;5327258950
2016-12-26;5854026630
2016-12-27;6769916220
2016-12-28;6850995220
2016-12-29;6856700830
2016-12-30;6842817630
2016-12-31;6274612920
2017-01-01;5634124830
2017-01-02;6974142450
2017-01-03;7496721120
2017-01-04;7466359200
2017-01-05;7143849010
2017-01-06;6112287840
2017-01-07;6664854580
2017-01-08;6566257210
2017-01-09;7800667530
2017-01-10;8040578220
2017-01-11;7821054420
2017-01-12;7737468170
2017-01-13;7700966410
2017-01-14;7081829270
2017-01-15;6661217000
2017-01-16;7825454740
2017-01-17;8044353140
2017-01-18;8409588050
2017-01-19;8441191560
2017-01-20;8242282330
2017-01-21;7294031060
2017-01-22;6748130030
2017-01-23;7944545100
2017-01-24;8010828500
2017-01-25;8061831780
2017-01-26;8142251920
2017-01-27;8003077710
2017-01-28;7044811190
2017-01-29;6527051640
2017-01-30;7568749610
2017-01-31;7572718550
2017-02-01;7558402070
2017-02-02;7603010590
2017-02-03;7489383120
2017-02-04;6683755620
2017-02-05;6240249870
2017-02-06;7374027610
2017-02-07;7444682470
2017-02-08;7523411550
2017-02-09;7608800480
2017-02-10;7693825830
2017-02-11;6974707640
2017-02-12;6429212800
2017-02-13;7459415480
2017-02-14;7491377100
2017-02-15;7358931710
2017-02-16;7385962520
2017-02-17;7323690470
2017-02-18;6637117060
2017-02-19;6144513680
2017-02-20;7233285360
2017-02-21;7334026650
2017-02-22;7296395870
2017-02-23;7347267940
2017-02-24;7287503030
2017-02-25;6515538150
2017-02-26;6042139590
2017-02-27;7023681000
2017-02-28;7088860500
2017-03-01;7223967950
2017-03-02;7243201930
2017-03-03;7351194770
2017-03-04;6689868520
2017-03-05;6156549260
2017-03-06;7034565680
2017-03-07;7117883880
2017-03-08;7000339220
2017-03-09;6947825070
2017-03-10;6829392230
2017-03-11;6097070880
2017-03-12;5694458600
2017-03-13;6995974030
2017-03-14;7131708200
2017-03-15;6981323560
2017-03-16;6943071050
2017-03-17;6865382580
2017-03-18;6107598790
2017-03-19;5625255330
2017-03-20;6581743200
2017-03-21;6967142360
2017-03-22;7138260840
2017-03-23;7263298950
2017-03-24;7369382170
2017-03-25;6645844940
2017-03-26;5817011230
2017-03-27;7134826760
2017-03-28;7103818280
2017-03-29;7018076490
2017-03-30;6916519100
2017-03-31;6874792740
2017-04-01;6235465300
2017-04-02;5782316200
2017-04-03;6789566770
